x,y,uT_target,uT_rollout
0.533333333333,0.266666666667,7.27384203484e-10,-0.000154602798164
0.566666666667,0.266666666667,7.15408194393e-10,-0.000192558724996
0.6,0.266666666667,6.95594023415e-10,-0.000226647418907
0.633333333333,0.266666666667,6.68158778755e-10,-0.000255418695511
0.666666666667,0.266666666667,6.33403046693e-10,-0.000277702188927
0.7,0.266666666667,5.91707618303e-10,-0.000292640060925
0.733333333333,0.266666666667,5.43529317425e-10,-0.000299645102089
0.766666666667,0.266666666667,4.89395995603e-10,-0.00029830053004
0.8,0.266666666667,4.29900748842e-10,-0.000288228209639
0.833333333333,0.266666666667,3.65695419514e-10,-0.000268952463922
0.866666666667,0.266666666667,2.97483454642e-10,-0.000239783623358
0.9,0.266666666667,2.2601219879e-10,-0.000199741113526
0.933333333333,0.266666666667,1.52064705991e-10,-0.000147525014523
0.966666666667,0.266666666667,7.64511604515e-11,-8.15430808464e-05
1,0.266666666667,8.9569544994e-26,0
0,0.3,0,0
0.0333333333333,0.3,8.32277719289e-11,4.53009750903e-05
0.0666666666667,0.3,1.65543682972e-10,8.2378836626e-05
0.1,0.3,2.46045862782e-10,0.000110944399148
0.133333333333,0.3,3.23852312631e-10,0.000130755601629
0.166666666667,0.3,3.98110568773e-10,0.00014171105214
0.2,0.3,4.68007042213e-10,0.000143918206422
0.233333333333,0.3,5.32775932562e-10,0.000137722862379
0.266666666667,0.3,5.91707618303e-10,0.00012369615793
0.3,0.3,6.44156431555e-10,0.000102585476542
0.333333333333,0.3,6.89547732145e-10,7.52519309289e-05
0.366666666667,0.3,7.27384203484e-10,4.2629409969e-05
0.4,0.3,7.57251301275e-10,5.72920098785e-06
0.433333333333,0.3,7.78821795344e-10,-3.43125828389e-05
0.466666666667,0.3,7.91859354845e-10,-7.61734711555e-05
0.5,0.3,7.96221137546e-10,-0.000118319467877
0.533333333333,0.3,7.91859354845e-10,-0.000159052301286
0.566666666667,0.3,7.78821795344e-10,-0.0001966331241
0.6,0.3,7.57251301275e-10,-0.000229448828035
0.633333333333,0.3,7.27384203484e-10,-0.000256166880347
0.666666666667,0.3,6.89547732145e-10,-0.00027582798471
0.7,0.3,6.44156431555e-10,-0.000287853784377
0.733333333333,0.3,5.91707618303e-10,-0.000291972114613
0.766666666667,0.3,5.32775932562e-10,-0.000288082871215
0.8,0.3,4.68007042213e-10,-0.000276097124276
0.833333333333,0.3,3.98110568773e-10,-0.000255782531796
0.866666666667,0.3,3.23852312631e-10,-0.000226641414784
0.9,0.3,2.46045862782e-10,-0.000187837323249
0.933333333333,0.3,1.65543682972e-10,-0.00013817627991
0.966666666667,0.3,8.32277719289e-11,-7.61437701276e-05
1,0.3,9.75089667509e-26,0
0,0.333333333333,0,0
0.0333333333333,0.333333333333,8.90925225205e-11,4.88914021534e-05
0.0666666666667,0.333333333333,1.7720892872e-10,8.87039244766e-05
