x,y,t,u_true,u_pinn,abs_error
0.70454543829,0.159090906382,0.117647059262,0.0334431231022,0.0576857216656,0.0242425985634
0.70454543829,0.159090906382,0.147058829665,0.0181717723608,0.0405922271311,0.0224204547703
0.70454543829,0.159090906382,0.176470592618,0.00987387821078,0.0299586839974,0.0200848057866
0.70454543829,0.159090906382,0.205882355571,0.00536510627717,0.023051161319,0.0176860541105
0.70454543829,0.159090906382,0.235294118524,0.00291520287283,0.0183504112065,0.0154352085665
0.70454543829,0.159090906382,0.264705896378,0.001584013924,0.0149946697056,0.0134106557816
0.70454543829,0.159090906382,0.29411765933,0.000860695785377,0.0124883539975,0.0116276582703
0.70454543829,0.159090906382,0.323529422283,0.000467670703074,0.0105421431363,0.0100744720548
0.70454543829,0.159090906382,0.352941185236,0.000254115177086,0.00898297503591,0.00872885994613
0.70454543829,0.159090906382,0.382352948189,0.000138076909934,0.00770350219682,0.00756542524323
0.70454543829,0.159090906382,0.411764711142,7.50259860069e-05,0.00663471641019,0.00655969046056
0.70454543829,0.159090906382,0.441176474094,4.0766382881e-05,0.00572975398973,0.00568898767233
0.70454543829,0.159090906382,0.470588237047,2.21509635594e-05,0.00495593668893,0.00493378564715
0.70454543829,0.159090906382,0.5,1.20360246001e-05,0.0042888415046,0.00427680555731
0.70454543829,0.159090906382,0.529411792755,6.53993038213e-06,0.00371008040383,0.00370354042388
0.70454543829,0.159090906382,0.558823525906,3.55356291948e-06,0.00320496084169,0.0032014073804
0.70454543829,0.159090906382,0.588235259056,1.93087817024e-06,0.00276188971475,0.00275995885022
0.70454543829,0.159090906382,0.617647051811,1.0491677358e-06,0.00237124087289,0.00237019173801
0.70454543829,0.159090906382,0.647058844566,5.7007940768e-07,0.00202495278791,0.00202438281849
0.70454543829,0.159090906382,0.676470577717,3.09760650907e-07,0.00171612622216,0.00171581644099
0.70454543829,0.159090906382,0.705882310867,1.68312624282e-07,0.00143917324021,0.00143900490366
