x,u0_true,u0_opt,abs_error
2.859375,0.0847428888083,0.0401955161421,0.0445473726662
2.875,0.0809268951416,0.036048031294,0.0448788638476
2.890625,0.0757461488247,0.0317870842489,0.0439590645757
2.90625,0.0690730065107,0.0274274573513,0.0416455491594
2.921875,0.0608327575028,0.0229837081957,0.0378490493071
2.9375,0.0510296113789,0.0184701906177,0.0325594207612
2.953125,0.0397693626583,0.0139010811892,0.0258682814691
2.96875,0.0272730197757,0.00929040999019,0.0179826097856
2.984375,0.0138749405742,0.00465209459891,0.00922284597526
3,-6.78077594074e-09,-2.36272053666e-08,1.68464294259e-08
3.015625,-0.013874954544,-0.00465214179968,0.00922281274432
3.03125,-0.027273286134,-0.00929045702981,0.0179828291042
3.046875,-0.0397696122527,-0.0139011279594,0.0258684842933
3.0625,-0.0510298423469,-0.0184702370092,0.0325596053377
3.078125,-0.0608329437673,-0.0229837540974,0.0378491896699
3.09375,-0.0690729990602,-0.0274275026501,0.0416454964101
3.109375,-0.0757461562753,-0.0317871288291,0.0439590274462
3.125,-0.0809268802404,-0.036048075037,0.0448788052035
3.140625,-0.0847429260612,-0.0401955589259,0.0445473671353
3.15625,-0.087351642549,-0.0442145593282,0.0431370832208
3.171875,-0.0889208093286,-0.0480898107409,0.0408309985876
3.1875,-0.0896152481437,-0.051805808223,0.0378094399207
3.203125,-0.0895881205797,-0.0553468247983,0.0342412957814
3.21875,-0.0889763236046,-0.0586969436789,0.0302793799256
3.234375,-0.0878986343741,-0.0618401078195,0.0260585265546
3.25,-0.0864560231566,-0.0647601894643,0.0216958336923
3.265625,-0.0847327634692,-0.0674410824188,0.0172916810504
3.28125,-0.0827982202172,-0.0698668197477,0.0129314004695
3.296875,-0.0807088762522,-0.0720217194235,0.00868715682864
3.3125,-0.078510299325,-0.0738905600934,0.00461973923155
3.328125,-0.0762387663126,-0.0754587885522,0.000779977760389
3.34375,-0.0739231407642,-0.0767127596676,0.00278961890333
3.359375,-0.0715860575438,-0.07764000837,0.00605395082627
3.375,-0.0692451074719,-0.0782295518705,0.00898444439859
3.390625,-0.0669138357043,-0.0784722185054,0.0115583828011
3.40625,-0.064602561295,-0.078360997553,0.013758436258
3.421875,-0.0623188912868,-0.07789140208,0.0155725107932
3.4375,-0.060068435967,-0.0770618344535,0.0169933984865
3.453125,-0.0578551366925,-0.0758739417437,0.0180188050512
3.46875,-0.0556816197932,-0.074332946024,0.0186513262308
3.484375,-0.0535494685173,-0.0724479327682,0.0188984642509
3.5,-0.0514594763517,-0.0702320794044,0.0187726030526
3.515625,-0.049411829561,-0.0677028058369,0.0182909762759
3.53125,-0.0474061220884,-0.0648818296272,0.0174757075388
3.546875,-0.0454416796565,-0.0617951106694,0.0163534310129
3.5625,-0.0435175038874,-0.0584726736772,0.0149551697898
