x,t,u_true,u_pinn,abs_error,u_rollout
0.990099013,0.01010101,0.01933478,0.019962639,0.000627859,0.0184345249183
0.00990099,0.02020202,0.006384302,0.007325008,0.000940705,0.00534806853537
0.01980198,0.02020202,0.012768605,0.012673123,9.5482e-05,0.0109172453175
0.029702969,0.02020202,0.0191529,0.018194702,0.000958199,0.0166768337705
0.03960396,0.02020202,0.025537178,0.023872849,0.001664329,0.0225976589109
0.049504951,0.02020202,0.031921413,0.02969208,0.002229333,0.0286526627368
0.059405938,0.02020202,0.038305558,0.035637796,0.002667762,0.0348173585816
0.069306932,0.02020202,0.044689566,0.041696571,0.002992995,0.0410701456466
0.07920792,0.02020202,0.051073328,0.047856122,0.003217205,0.0473924368794
0.089108907,0.02020202,0.057456739,0.054104812,0.003351927,0.0537686832875
0.099009901,0.02020202,0.063839667,0.060432039,0.003407627,0.060186213174
0.108910888,0.02020202,0.070221916,0.066827647,0.003394268,0.0666349323843
0.118811876,0.02020202,0.076603241,0.07328207,0.003321171,0.0731069655609
0.128712863,0.02020202,0.08298336,0.079785787,0.003197573,0.0795961773493
0.138613865,0.02020202,0.089361981,0.086329557,0.003032424,0.0860976904794
0.148514852,0.02020202,0.095738672,0.092903711,0.002834961,0.0926073304177
0.158415839,0.02020202,0.102112994,0.099498443,0.00261455,0.0991211867189
0.168316826,0.02020202,0.108484417,0.106103592,0.002380826,0.1056351258
0.178217813,0.02020202,0.114852317,0.112708963,0.002143353,0.112144460151
0.188118815,0.02020202,0.121216059,0.119304083,0.001911975,0.118643808716
0.198019803,0.02020202,0.127574801,0.125878766,0.001696035,0.125127203237
0.20792079,0.02020202,0.133927703,0.132423475,0.001504228,0.131588658178
0.217821777,0.02020202,0.14027378,0.138930053,0.001343727,0.138022968613
0.227722764,0.02020202,0.146611869,0.145392001,0.001219869,0.144426630224
0.237623751,0.02020202,0.15294081,0.151806086,0.001134723,0.150798461203
0.247524753,0.02020202,0.159259185,0.158172548,0.001086637,0.157139660841
0.257425725,0.02020202,0.165565506,0.164495289,0.001070216,0.163453232545
0.267326742,0.02020202,0.171858147,0.170780689,0.001077458,0.169743228152
0.27722773,0.02020202,0.178135216,0.177036285,0.001098931,0.176013646566
0.287128717,0.02020202,0.184394747,0.183268011,0.001126736,0.182267788874
0.297029704,0.02020202,0.190634474,0.189479798,0.001154676,0.18850756846
0.306930691,0.02020202,0.196852043,0.195673317,0.001178727,0.194733136923
0.316831678,0.02020202,0.203044757,0.201847881,0.001196876,0.200942725397
0.326732665,0.02020202,0.209209844,0.208001286,0.001208559,0.20713273451
0.336633652,0.02020202,0.215344071,0.214130223,0.001213849,0.213298084901
0.34653464,0.02020202,0.2214441,0.220230609,0.001213491,0.219432829571
0.356435627,0.02020202,0.227506235,0.226297706,0.001208529,0.225530979548
