x,t,u
3.125,5.59,1.55511358225
4.6875,5.59,-0.770786544727
6.25,5.59,-1.14627802964
7.8125,5.59,-0.216246776045
9.375,5.59,0.244026752673
10.9375,5.59,0.881657975404
12.5,5.59,1.85128936702
14.0625,5.59,0.601930740929
15.625,5.59,-1.12876554653
17.1875,5.59,-0.406200916228
18.75,5.59,0.23152855692
20.3125,5.59,0.500945196541
21.875,5.59,0.712908851861
23.4375,5.59,1.78625456932
25,5.59,1.07362194814
26.5625,5.59,-1.03660982749
28.125,5.59,-1.14322975407
29.6875,5.59,0.0828514843476
31.25,5.59,1.08059723045
32.8125,5.59,2.36300184944
34.375,5.59,0.0854928251356
35.9375,5.59,-1.98298034199
37.5,5.59,-0.331037881709
39.0625,5.59,0.529607799339
40.625,5.59,2.03383003823
42.1875,5.59,0.906744500737
43.75,5.59,-1.50585413202
45.3125,5.59,-1.11944740615
46.875,5.59,-0.10575322556
48.4375,5.59,0.0897405741684
0,5.6,0.461802141433
1.5625,5.6,1.75728561815
3.125,5.6,1.56075648677
4.6875,5.6,-0.765607710836
6.25,5.6,-1.14992629473
7.8125,5.6,-0.217097057489
9.375,5.6,0.243064199096
10.9375,5.6,0.879230498468
12.5,5.6,1.85138657576
14.0625,5.6,0.607319332352
15.625,5.6,-1.12751790675
17.1875,5.6,-0.408715730067
18.75,5.6,0.230650014933
20.3125,5.6,0.500150597318
21.875,5.6,0.711027921221
23.4375,5.6,1.78604717213
25,5.6,1.07663491538
26.5625,5.6,-1.0370306629
28.125,5.6,-1.14663636181
29.6875,5.6,0.0812261616299
31.25,5.6,1.07756950832
32.8125,5.6,2.3635505585
34.375,5.6,0.0891198477242
35.9375,5.6,-1.98323959254
37.5,5.6,-0.332772928885
39.0625,5.6,0.528382584367
40.625,5.6,2.03467861849
42.1875,5.6,0.90926898626
43.75,5.6,-1.50513986369
45.3125,5.6,-1.12002252368
46.875,5.6,-0.104822558967
48.4375,5.6,0.0887064337523
0,5.61,0.459588624993
1.5625,5.61,1.75392147874
3.125,5.61,1.56638413026
4.6875,5.61,-0.760408162972
6.25,5.61,-1.15357287338
7.8125,5.61,-0.21794945488
9.375,5.61,0.242101382014
10.9375,5.61,0.87681082916
12.5,5.61,1.85146398753
14.0625,5.61,0.612706961781
15.625,5.61,-1.12624789303
17.1875,5.61,-0.411237740396
18.75,5.61,0.229768261988
20.3125,5.61,0.499353398119
21.875,5.61,0.709152240739
23.4375,5.61,1.78583427979
25,5.61,1.07964215052
26.5625,5.61,-1.03744898454
28.125,5.61,-1.15003666747
29.6875,5.61,0.0796027979106
31.25,5.61,1.07455119494
32.8125,5.61,2.3640871669
34.375,5.61,0.0927432185634
35.9375,5.61,-1.9834839654
37.5,5.61,-0.334517636221
39.0625,5.61,0.527151957448
40.625,5.61,2.03551883007
42.1875,5.61,0.91180361543
43.75,5.61,-1.50441455067
45.3125,5.61,-1.12060275202
46.875,5.61,-0.103892104003
48.4375,5.61,0.0876770879435
0,5.62,0.457382244691
1.5625,5.62,1.75053264786
3.125,5.62,1.57199632528
4.6875,5.62,-0.755188037042
6.25,5.62,-1.15721753391
7.8125,5.62,-0.218804017969
9.375,5.62,0.241138306311
10.9375,5.62,0.874399023155
12.5,5.62,1.85152162238
14.0625,5.62,0.61809356471
15.625,5.62,-1.12495548845
17.1875,5.62,-0.41376692294
18.75,5.62,0.228883283751
20.3125,5.62,0.498553586393
21.875,5.62,0.707281790127
23.4375,5.62,1.78561589543
25,5.62,1.08264366205
26.5625,5.62,-1.03786481659
28.125,5.62,-1.15343070573
29.6875,5.62,0.0779814010447
31.25,5.62,1.07154230303
32.8125,5.62,2.36461177196
34.375,5.62,0.0963629588265
35.9375,5.62,-1.9837135463
37.5,5.62,-0.336272025836
39.0625,5.62,0.525915938129
40.625,5.62,2.03635062731
42.1875,5.62,0.914348396385
43.75,5.62,-1.50367815456
45.3125,5.62,-1.12118812464
46.875,5.62,-0.102961890947
48.4375,5.62,0.0866526178201
0,5.63,0.455182994974
1.5625,5.63,1.74711923012
3.125,5.63,1.57759288462
